model,test_auc,test_f1
RF_Tuned,0.8322793148880104,0.7166666666666667
RandomForest,0.8306982872200265,0.75
GradientBoosting,0.8179183135704875,0.7142857142857143
GB_Tuned,0.8057312252964427,0.7096774193548387
DecisionTree,0.8054018445322793,0.7633587786259542
